run_time,trade_date,symbol,name,threshold_mode,score_total,close,stop_loss_price,take_profit_price,suggested_holding_days,exit_plan,source_strategy
2026-06-01 19:58:54,2026-06-02,600203,福日电子,normal,69.64,13.06,12.15,14.86,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-pullback
2026-06-02 20:17:29,2026-06-03,600642,申能股份,normal,75.96,10.65,10.02,11.91,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-relative
2026-06-02 20:17:29,2026-06-03,000582,北部湾港,normal,74.19,14.05,12.93,16.27,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-relative
2026-06-02 20:17:29,2026-06-03,002406,远东传动,normal,69.52,8.41,7.76,9.7,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-pullback
2026-06-02 20:17:29,2026-06-03,600018,上港集团,normal,67.23,5.14,5.02,5.36,2,默认持有2天；买后不强就退出；跌回MA20下方或单笔亏损4%到5%止损。,recommend-pullback
2026-06-03 20:02:24,2026-06-04,603386,骏亚科技,normal,73.73,17.04,15.57,19.96,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-relative
2026-06-03 20:02:24,2026-06-04,600222,太龙药业,normal,73.29,8.38,7.78,9.57,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-relative
2026-06-03 20:02:24,2026-06-04,002768,国恩股份,normal,70.52,63.6,58.12,74.55,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-pullback
2026-06-03 20:02:24,2026-06-04,600919,江苏银行,normal,66.86,11.32,10.99,11.97,2,默认持有2天；买后不强就退出；跌回MA20下方或单笔亏损4%到5%止损。,recommend-pullback
2026-06-04 19:55:56,2026-06-05,600483,福能股份,normal,75.5,11.92,11.17,13.4,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-relative
2026-06-04 19:55:56,2026-06-05,003043,华亚智能,normal,74.92,67.57,61.27,80.17,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-relative
2026-06-04 19:55:56,2026-06-05,600012,皖通高速,normal,71.16,16.45,15.55,18.24,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-pullback
2026-06-04 19:55:56,2026-06-05,603099,长白山,normal,69.75,38.04,35.83,42.45,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-pullback
2026-06-05 21:26:26,2026-06-08,002815,崇达技术,normal,76.8,17.77,16.27,20.75,1,默认持有1天；买后不强就退出；跌回MA20下方或单笔亏损4%到5%止损。,recommend-relative
2026-06-05 21:26:26,2026-06-08,001326,联域股份,normal,73.9,69.48,62.4,83.63,1,默认持有1天；买后不强就退出；跌回MA20下方或单笔亏损4%到5%止损。,recommend-relative
2026-06-05 21:26:26,2026-06-08,600546,山煤国际,normal,67.35,14.11,12.96,16.39,1,默认持有1天；买后不强就退出；跌回MA20下方或单笔亏损4%到5%止损。,recommend-pullback
2026-06-05 21:26:26,2026-06-08,600008,首创环保,normal,66.53,3.14,3.03,3.35,1,默认持有1天；买后不强就退出；跌回MA20下方或单笔亏损4%到5%止损。,recommend-pullback
